State,Year,Domestic_Visitors
W.P. Putrajaya,2018,1833866
W.P. Putrajaya,2019,1980195
W.P. Putrajaya,2020,1092718
W.P. Putrajaya,2021,592918
W.P. Putrajaya,2022,1510801
W.P. Putrajaya,2023,1900379
Melaka,2018,15014108
Melaka,2019,16212125
Melaka,2020,8946230
Melaka,2021,4854302
Melaka,2022,12369135
Melaka,2023,15558661
Negeri Sembilan,2018,14435889
Negeri Sembilan,2019,15587768
Negeri Sembilan,2020,8601695
Negeri Sembilan,2021,4667355
Negeri Sembilan,2022,11892779
Negeri Sembilan,2023,14959470
W.P. Kuala Lumpur,2018,21454500
W.P. Kuala Lumpur,2019,23166414
W.P. Kuala Lumpur,2020,12783770
W.P. Kuala Lumpur,2021,6936585
W.P. Kuala Lumpur,2022,17674951
W.P. Kuala Lumpur,2023,22232643
Pahang,2018,15879622
Pahang,2019,17146701
Pahang,2020,9461951
Pahang,2021,5134137
Pahang,2022,13082176
Pahang,2023,16455567
Terengganu,2018,11348898
Terengganu,2019,12254458
Terengganu,2020,6762297
Terengganu,2021,3669281
Terengganu,2022,9349610
Terengganu,2023,11760516
Pulau Pinang,2018,12668121
Pulau Pinang,2019,13678946
Pulau Pinang,2020,7548363
Pulau Pinang,2021,4095807
Pulau Pinang,2022,10436432
Pulau Pinang,2023,13127587
Sarawak,2018,17274648
Sarawak,2019,18653040
Sarawak,2020,10293184
Sarawak,2021,5585171
Sarawak,2022,14231446
Sarawak,2023,17901190
Perak,2018,16508755
Perak,2019,17826034
Perak,2020,9836823
Perak,2021,5337546
Perak,2022,13600477
Perak,2023,17107518
Perlis,2018,1882494
Perlis,2019,2032703
Perlis,2020,1121693
Perlis,2021,608641
Perlis,2022,1550863
Perlis,2023,1950771
Kedah,2018,12973513
Kedah,2019,14008705
Kedah,2020,7730332
Kedah,2021,4194545
Kedah,2022,10688024
Kedah,2023,13444055
Sabah,2018,15517271
Sabah,2019,16755437
Sabah,2020,9246043
Sabah,2021,5016983
Sabah,2022,12783659
Sabah,2023,16080074
Kelantan,2018,7285142
Kelantan,2019,7866444
Kelantan,2020,4340888
Kelantan,2021,2355403
Kelantan,2022,6001749
Kelantan,2023,7549370
Johor,2018,15251719
Johor,2019,16468695
Johor,2020,9087812
Johor,2021,4931126
Johor,2022,12564888
Johor,2023,15804890
Selangor,2018,26614196
Selangor,2019,28737816
Selangor,2020,15858200
Selangor,2021,8604797
Selangor,2022,21925685
Selangor,2023,27579478
W.P. Labuan,2018,319762
W.P. Labuan,2019,345277
W.P. Labuan,2020,190532
W.P. Labuan,2021,103384
W.P. Labuan,2022,263431
W.P. Labuan,2023,331360
